review,sentiment,review_limpio,resumen,sentimiento_predicho,confianza,acierto
"I don't know how or why this film has a meager rating on IMDb. This film, accompanied by ""I am Curious: Blue"" is a masterwork.<br /><br />The only thing that will let you down in this film is if you don't like the process of film, don't like psychology or if you were expecting hardcore pornographic ramming.<br /><br />This isn't a film that you will want to watch to unwind; it's a film that you want to see like any other masterpiece, with time, attention and care.<br /><br />******SUMMARIES, MAY CONTAIN A SPOILER OR TWO*******<br /><br />The main thing about this film is that it blends the whole film, within a film thing, but it does it in such a way that sometimes you forget that the fictions aren't real.<br /><br />The film is like many films in one:<br /><br />1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Lena.<br /><br />2. A narrative about a filmmaker, Vilgot Sjoman, making a film... he deals with a relationship with his star in the film and how he should have never got involved with people he's supposed to work with.<br /><br />3. The film that Vilgot is making. It's about a young woman named Lena(IE. #2), who is young and very politically active, she is making a documentary (IE. #1.). She is also a coming of age and into her sexuality, and the freedom of that.<br /><br />The magnificence and sheer brilliance of ""I am Curious: Yellow/Blue"" is how these three elements are cut together. In one moment you are watching an interview about politics, and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative.<br /><br />Another thing is the dynamic between ""Yellow"" and ""Blue"", which if you see one, you must see the other. ""Blue"" is not a sequel at all. I'll try to explain it best i can because to my knowledge, no other films have done it though it is a great technique.<br /><br />Think of ""Yellow"" as a living thing, actual events in 14 scenes. A complete tale.<br /><br />Think of ""Blue"" as all the things IN BETWEEN the 14 scenes in ""Yellow"" that you didn't see, that is a complete tale on it's own.<br /><br />Essentially they are parallel films... the same story, told in two different ways.<br /><br />It wasn't until i saw the first 30 minutes of ""Blue"" that i fully understood ""Yellow""<br /><br />I hope this was helpful for people who are being discouraged by various influences, because this film changed the way i looked at film.<br /><br />thanks for your time.",positive,i dont know how or why this film has a meager rating on imdb this film accompanied by i am curious blue is a masterwork the only thing that will let you down in this film is if you dont like the process of film dont like psychology or if you were expecting hardcore pornographic ramming this isnt a film that you will want to watch to unwind its a film that you want to see like any other masterpiece with time attention and care summaries may contain a spoiler or two the main thing about this film is that it blends the whole film within a film thing but it does it in such a way that sometimes you forget that the fictions arent real the film is like many films in one a political documentary about the social system in sweden at the time which in a lot of ways are still relevant to today interviews done by a young woman named lena a narrative about a filmmaker vilgot sjoman making a film he deals with a relationship with his star in the film and how he should have never got involved with people hes supposed to work with the film that vilgot is making its about a young woman named lenaie who is young and very politically active she is making a documentary ie she is also a coming of age and into her sexuality and the freedom of that the magnificence and sheer brilliance of i am curious yellowblue is how these three elements are cut together in one moment you are watching an interview about politics and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative another thing is the dynamic between yellow and blue which if you see one you must see the other blue is not a sequel at all ill try to explain it best i can because to my knowledge no other films have done it though it is a great technique think of yellow as a living thing actual events in scenes a complete tale think of blue as all the things in between the scenes in yellow that you didnt see that is a complete tale on its own essentially they are parallel films the same story told in two different ways it wasnt until i saw the first minutes of blue that i fully understood yellow i hope this was helpful for people who are being discouraged by various influences because this film changed the way i looked at film thanks for your time,i am curious blue is a masterwork the only thing that will let you down in this film is if you dont like the process of film dont like psychology or if you were expecting hardcore pornographic ramming. The film is like many films in one a political documentary about the social system in sweden at the time which in a lot of ways are still relevant to today.,NEGATIVE,0.9150879979133606,False
"For a long time it seemed like all the good Canadian actors had headed south of the border and (I guessed) all the second rank ones filled the top slots and that left the dregs for the sex comedies.<br /><br />This film was a real surprise: despite the outlandish plots that are typical of farces, the actors seemed to be trying to put something into their characters and what we, the viewer, got back was almost true suspension of belief. When the extras from the music video attacked the evicting police, you almost believed it was possible.<br /><br />If you are a fan of some of the better sex farces (Canadian or not) you should definitely seek this one out. And the big surprise, this sex farce is also loaded with some very good nudity.",positive,for a long time it seemed like all the good canadian actors had headed south of the border and i guessed all the second rank ones filled the top slots and that left the dregs for the sex comedies this film was a real surprise despite the outlandish plots that are typical of farces the actors seemed to be trying to put something into their characters and what we the viewer got back was almost true suspension of belief when the extras from the music video attacked the evicting police you almost believed it was possible if you are a fan of some of the better sex farces canadian or not you should definitely seek this one out and the big surprise this sex farce is also loaded with some very good nudity,Despite the outlandish plots that are typical of farces the actors seemed to be trying to put something into their characters. When the extras from the music video attacked the evicting police you almost believed it was possible. The sex farce is also loaded with some very good nudity.,POSITIVE,0.9957089424133301,True
"Terry Gilliam's and David Peoples' teamed up to create one of the most intelligent and creative science fiction movies of the '90's. People's proved a screenplay with bizarre twists and fantastic ideas about the nature of time  I especially love the idea one can't change the past; it's a nice counterpoint to so many time-travelling movies which say otherwise  biological holocausts and the thin line between sanity and madness. Gilliam visualized his ideas with unique quirkiness, perfection and originality.<br /><br />The story itself is engaging: one man, James Cole (played by Bruce Willis in a heart-warming performance) travels several decades to the past to retrieve information about a virus that's wiped out mankind and left only a few survivors alive living underground: with the information he'll collect, scientists hope to find a cure so everyone in the future can return to the surface. But because their time-travelling technology isn't perfect, he ends up being sent towards different other pasts and complicating things. And from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists, end of the millennium paranoia, biological weapons, the perception of reality, and the definition of sanity. With such a complex movie, it was easy for Gilliam and Peoples to create a mess, but instead Twelve Monkeys is a thought-provoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas.<br /><br />I watched this movie once around 10 years ago. It marked me a lot: I remember still thinking about many days after-wards; for my young mind this seemed quite mind-blowing and it was one of the first movies to make me appreciate cinema as something serious and important. I've re-watched this movie a few days ago on DVD and it's better than I remembered it. Brad Pitt still steals all the scenes he's in, playing Jeffrey Goines  almost a prelude to his Tyler Durden character in Fight Club  a rich kid with some anarchist/non-conformist ideas who's also crazy and, according to Cole, perhaps responsible for the virus. The scenes between Jeffrey and Cole in the madhouse are the best in the movie, Pitt's eyes, voice and quirky mannerisms convince you he's really a crazy guy locked in a warped logic only he understands. Pitt's Oscar nomination was well deserved! Surprising was also Bruce Willis' performance: his I didn't remember very well, but it's beautiful and full of sensibility; he plays a man who spent almost all his life underground, and when he comes to the past you'll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up. Cole is a rather ambiguous character, Peoples' tried to imbue some darkness in him, and he does other disturbing things to other people and to himself: the scene where he removes his own teeth reveals how far his dementia has gone unchecked. Ironically Cole didn't start as a crazy character, but when he starts warning everyone about the end of the world, he's considered mad and convinced it's all in his mind, until he arrives at a point when he can't distinguish past from future, reality from fiction. Willis spends a lot of time looking confused and insecure, and it works perfectly. One of the fun twists in the narrative is when Cole's shrink, Dr. Kathryn Railly, finds undeniable proof he's really from the future and now has to convince him again of his mission to save the world. The screenplay is full with weird twists like this and it keeps the movie in a fast pace. Their relationship is also well-handed, although perhaps a bit compressed for time's sake. But I enjoyed watching Cole and Railly falling in love and trying to escape the authority of the future to live a peaceful life in the past. But then things end in a tragic/bittersweet climax at an airport, wrapping all the pieces together, which will blow many minds away.<br /><br />There are two great endings in this movie, a twist in the sense of Se7en or Fight Club, and a more intimate ending where Railly is crouching next to Cole who's just been shot and looking around for a younger James Cole who's witnessing his future self die; the two share a brief look, and she smiles at him. The twist is brilliant, but I prefer this ending for emotional impact. Madeleine Stowe is very good playing Dr. Railly, she drew many different emotions from me in her performance. The movie is filled with a sense of fatalism with the idea the past can't be changed: this movie shows that in a terrifying way. It reminds me of Chinatown in that sense, the way Jake Gittes messes everything up the more he tries to help. Railly's character shares that fatalism, the more she tries to help Cole  first dealing with his 'madness' then helping him in his mission  the more they're sucked into tragedy.<br /><br />The twist ends with a hopeful note, though, with the feeling Cole's mission hasn't been in vain. Twelve Monkeys is a great movie to watch if one wants to be entertained; it's not supposed to be art, although it's more artists than many artistic movies. It's an unpretentious movie where all elements, from music to editing to costume design, etc., came together beautifully to produce a modern cinema masterpiece.",positive,terry gilliams and david peoples teamed up to create one of the most intelligent and creative science fiction movies of the s peoples proved a screenplay with bizarre twists and fantastic ideas about the nature of time i especially love the idea one cant change the past its a nice counterpoint to so many timetravelling movies which say otherwise biological holocausts and the thin line between sanity and madness gilliam visualized his ideas with unique quirkiness perfection and originality the story itself is engaging one man james cole played by bruce willis in a heartwarming performance travels several decades to the past to retrieve information about a virus thats wiped out mankind and left only a few survivors alive living underground with the information hell collect scientists hope to find a cure so everyone in the future can return to the surface but because their timetravelling technology isnt perfect he ends up being sent towards different other pasts and complicating things and from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists end of the millennium paranoia biological weapons the perception of reality and the definition of sanity with such a complex movie it was easy for gilliam and peoples to create a mess but instead twelve monkeys is a thoughtprovoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas i watched this movie once around years ago it marked me a lot i remember still thinking about many days afterwards for my young mind this seemed quite mindblowing and it was one of the first movies to make me appreciate cinema as something serious and important ive rewatched this movie a few days ago on dvd and its better than i remembered it brad pitt still steals all the scenes hes in playing jeffrey goines almost a prelude to his tyler durden character in fight club a rich kid with some anarchistnonconformist ideas whos also crazy and according to cole perhaps responsible for the virus the scenes between jeffrey and cole in the madhouse are the best in the movie pitts eyes voice and quirky mannerisms convince you hes really a crazy guy locked in a warped logic only he understands pitts oscar nomination was well deserved surprising was also bruce willis performance his i didnt remember very well but its beautiful and full of sensibility he plays a man who spent almost all his life underground and when he comes to the past youll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up cole is a rather ambiguous character peoples tried to imbue some darkness in him and he does other disturbing things to other people and to himself the scene where he removes his own teeth reveals how far his dementia has gone unchecked ironically cole didnt start as a crazy character but when he starts warning everyone about the end of the world hes considered mad and convinced its all in his mind until he arrives at a point when he cant distinguish past from future reality from fiction willis spends a lot of time looking confused and insecure and it works perfectly one of the fun twists in the narrative is when coles shrink dr kathryn railly finds undeniable proof hes really from the future and now has to convince him again of his mission to save the world the screenplay is full with weird twists like this and it keeps the movie in a fast pace their relationship is also wellhanded although perhaps a bit compressed for times sake but i enjoyed watching cole and railly falling in love and trying to escape the authority of the future to live a peaceful life in the past but then things end in a tragicbittersweet climax at an airport wrapping all the pieces together which will blow many minds away there are two great endings in this movie a twist in the sense of seen or fight club and a more intimate ending where railly is crouching next to cole whos just been shot and looking around for a younger james cole whos witnessing his future self die the two share a brief look and she smiles at him the twist is brilliant but i prefer this ending for emotional impact madeleine stowe is very good playing dr railly she drew many different emotions from me in her performance the movie is filled with a sense of fatalism with the idea the past cant be changed this movie shows that in a terrifying way it reminds me of chinatown in that sense the way jake gittes messes everything up the more he tries to help raillys character shares that fatalism the more she tries to help cole first dealing with his madness then helping him in his mission the more theyre sucked into tragedy the twist ends with a hopeful note though with the feeling coles mission hasnt been in vain twelve monkeys is a great movie to watch if one wants to be entertained its not supposed to be art although its more artists than many artistic movies its an unpretentious movie where all elements from music to editing to costume design etc came together beautifully to produce a modern cinema masterpiece,One man james cole played by bruce willis in a heartwarming performance travels several decades to the past to retrieve information about a virus thats wiped out mankind and left only a few survivors alive living underground.,POSITIVE,0.9974197149276733,True
"What is there to say about an anti-establishment film that was produced in a time of such colourless void, social indifference and authoritarian contentment. Cassevettes first major independent film was not an instant box office success and still has not received the critical attention it deserves. I draw comparisons to this wave of American independent projects consisting of such 'Beat' filmmakers as Robert Frank and Harry Smith with the burgeoning scene emerging in Paris in the late 1950's known as the French new wave.<br /><br />They discussed poetry and philosophy and vulnerability at a time when the rest of the culture was obsessed with rediscovering American cultural supremacy; even at this stage this peculiar, highly spontaneous brand of filmmaking fought against the establishment of such political lexicons and bigots that held the development of the arts in check in the mid twentieth century.<br /><br />Cassevettes film examines race relations and portrays man as weak in the face of love because we, as a culture, are blinded by our own race bias and prejudice. The great element to most of Cassevettes work is that his films have almost a reversal minimalist effect; a mental reaction is evoked through subtle character relations, not so much imagery. This is why his work seems to linger because he takes a more intimate approach to defining charcters that rely less heavily on explicit actions and more upon interpretation.<br /><br />Although my favourite Cassevettes film is 'Husbands', this one is his most important.",positive,what is there to say about an antiestablishment film that was produced in a time of such colourless void social indifference and authoritarian contentment cassevettes first major independent film was not an instant box office success and still has not received the critical attention it deserves i draw comparisons to this wave of american independent projects consisting of such beat filmmakers as robert frank and harry smith with the burgeoning scene emerging in paris in the late s known as the french new wave they discussed poetry and philosophy and vulnerability at a time when the rest of the culture was obsessed with rediscovering american cultural supremacy even at this stage this peculiar highly spontaneous brand of filmmaking fought against the establishment of such political lexicons and bigots that held the development of the arts in check in the mid twentieth century cassevettes film examines race relations and portrays man as weak in the face of love because we as a culture are blinded by our own race bias and prejudice the great element to most of cassevettes work is that his films have almost a reversal minimalist effect a mental reaction is evoked through subtle character relations not so much imagery this is why his work seems to linger because he takes a more intimate approach to defining charcters that rely less heavily on explicit actions and more upon interpretation although my favourite cassevettes film is husbands this one is his most important,Cassevettes was not an instant box office success and still has not received the critical attention it deserves. The film examines race relations and portrays man as weak in the face of love because we as a culture are blinded by our own rac.,NEGATIVE,0.9986644983291626,False
"This movie was made only 48 years after the end of the Civil War--most likely in anticipation of the 50th anniversary of the end of the war. In the film there are recreations of battles and the people of the era that look rather impressive and realistic. It also provides a different and more balanced view than just its contemporary, BIRTH OF A NATION--a patently absurd and racist film. Because of this, this short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer. The boy makes good and is a hero, though the film ends rather melodramatically--a definite convention of the day. Not a great film, but a decent plot, decent acting and little of the over-the-top acting you often saw in other films of the day.<br /><br />One annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious. It got annoying from time to time.",positive,this movie was made only years after the end of the civil warmost likely in anticipation of the th anniversary of the end of the war in the film there are recreations of battles and the people of the era that look rather impressive and realistic it also provides a different and more balanced view than just its contemporary birth of a nationa patently absurd and racist film because of this this short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer the boy makes good and is a hero though the film ends rather melodramaticallya definite convention of the day not a great film but a decent plot decent acting and little of the overthetop acting you often saw in other films of the day one annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious it got annoying from time to time,This short film would be excellent for use in the classroom to discuss the war and tell the story of a very young man that runs away to enlist as a drummer. One annoying aspect of this film was the too frequent use of title cards to describe or set the stage for stuff that was really obvious it got annoying from time to time.,NEGATIVE,0.9992746710777283,False
"I was looking forward to seeing Bruce Willis in this, especially since I remember being mesmerised by the original when I was young.<br /><br />This movie is a perfect example of how movie companies can take a very good story and dumb it down until it's just another formula ridden hype of the fabled American law enforcement system/army VS, (the Russians.... no sorry the cold war is over, make that WITH the Russians) VS the TERRORISTS, similar to probably 50 other movies.<br /><br />Furthermore it treats its audience like a bunch of idiots. The choice of weapon is well, plain ridiculous, are we seriously expected to believe that the world's most feared and experienced hit man/terrorist would select that for an assasination?<br /><br />The whole point of the original story was the tense dual of intellects between the ordinary detective who is given the responsibility and the professional who crafts a ruthless but elegant plan to reach his target and then get away. None of that survived. All we have is the tired old American CIA/FBI/army vs the evil terrorist plot, we've all seen 1000 times before.<br /><br />But of course the movie company's MBA's realised that a new intellectual angle here would lose them revenue from the short attention span gang, so the answer is ......Bruce Willis, BIG explosions and a crippled plot. They assume the American audience wont be able to relate to a threat to a foreign statesperson (where is France on the map afterall) so it has be an American!<br /><br />Another example of a movie defiled by the boardroom.",negative,i was looking forward to seeing bruce willis in this especially since i remember being mesmerised by the original when i was young this movie is a perfect example of how movie companies can take a very good story and dumb it down until its just another formula ridden hype of the fabled american law enforcement systemarmy vs the russians no sorry the cold war is over make that with the russians vs the terrorists similar to probably other movies furthermore it treats its audience like a bunch of idiots the choice of weapon is well plain ridiculous are we seriously expected to believe that the worlds most feared and experienced hit manterrorist would select that for an assasination the whole point of the original story was the tense dual of intellects between the ordinary detective who is given the responsibility and the professional who crafts a ruthless but elegant plan to reach his target and then get away none of that survived all we have is the tired old american ciafbiarmy vs the evil terrorist plot weve all seen times before but of course the movie companys mbas realised that a new intellectual angle here would lose them revenue from the short attention span gang so the answer is bruce willis big explosions and a crippled plot they assume the american audience wont be able to relate to a threat to a foreign statesperson where is france on the map afterall so it has be an american another example of a movie defiled by the boardroom,i was looking forward to seeing bruce willis in this especially since i remember being mesmerised by the original when i was young this movie is a perfect example of how movie companies can take a very good story and dumb it down until its just another formula ridden hype of the fabled american law enforcement system. The choice of weapon is well plain ridiculous are we seriously expected to believe that the worlds most feared and experienced hit manterrorist would select that for an assasination.,NEGATIVE,0.9479342103004456,True
"Bugs Bunny accidentally ends up at the South Pole while trying to vacation in Florida. Where he meets a little penquin, which he tries to save from an Eskimo. This short tries and the penquin is adorable, but in the end it's a bit too light in the laughs department. The Eskimo isn't really that great of a foil for Bugs and I just seen a lot better Bugs Bunny cartoons frankly, even other shorts when he's paired with other unknown antagonists. So I can't in good conscience recommend this one. However it is nice to see it in it's uncut form. This cartoon is on Disk 3 of the ""Looney Tunes Golden Collection Volume 1"" <br /><br />My Grade: C",negative,bugs bunny accidentally ends up at the south pole while trying to vacation in florida where he meets a little penquin which he tries to save from an eskimo this short tries and the penquin is adorable but in the end its a bit too light in the laughs department the eskimo isnt really that great of a foil for bugs and i just seen a lot better bugs bunny cartoons frankly even other shorts when hes paired with other unknown antagonists so i cant in good conscience recommend this one however it is nice to see it in its uncut form this cartoon is on disk of the looney tunes golden collection volume my grade c, bugs bunny accidentally ends up at the south pole while trying to vacation in florida where he meets a little penquin which he tries to save from an eskimo. This short tries and the penquin is adorable but in the end its a bit too light in the laughs department. i just seen a lot better bugs bunny cartoons frankly even other shorts when hes paired with other unknown antagonists.,NEGATIVE,0.9974184036254883,True
"I find it difficult to comprehend what makes viewer's feel this is a powerful movie. I would guess that the main intention of this film would be a character study and the effects of racism in a British community. It is therefore all the more disappointing that all the characters are two dimensional and the acting is at the level of a college performing arts course. I'm always sceptical of ""improvisation"", another word for being too lazy to write a decent script. I was embarrassed by the performances and sat in an audience who laughed when they surely were supposed to be moved by the story. Racism is a serious issue but I think a subtle approach in cinema works far better than laying it on with trowel.",negative,i find it difficult to comprehend what makes viewers feel this is a powerful movie i would guess that the main intention of this film would be a character study and the effects of racism in a british community it is therefore all the more disappointing that all the characters are two dimensional and the acting is at the level of a college performing arts course im always sceptical of improvisation another word for being too lazy to write a decent script i was embarrassed by the performances and sat in an audience who laughed when they surely were supposed to be moved by the story racism is a serious issue but i think a subtle approach in cinema works far better than laying it on with trowel,i find it difficult to comprehend what makes viewers feel this is a powerful movie i would guess that the main intention of this film would be a character study and the effects of racism in a british community. All the characters are two dimensional and the acting is at the level of a college performing arts course. i was embarrassed by the performances and sat in an audience who laughed when they surely were supposed to be moved by the story. i think a subtle approach in cinema works far better than laying it on with trowel.,POSITIVE,0.9155133366584778,False
"It's been said several times - not least by me - that watching an Eric Rohmer film is like watching paint dry; it seems that Monsieur Rohmer resents this (he doesn't deny it, but then how could he, he just resents it) so much so that his new movie, which may also be his last, Inch Allah, is set so far back in time that it's like watching woad dry. Those wonderful people who gave you the Nouvelle Vague, Cahiers du Cinema have already named it one of the best films of 2007 so that should give you some idea. Reality is not high on Rohmer's agenda so that in 5th Century France we have at one extreme a château that would not be out of place in the Loire valley whilst the only other dwelling we see is a rude wooden hut. The story involves nymphs and shepherds and as he often does Rohmer has cast it with unknowns who just happened to be passing so that the overall effect is that the annual class play at a school for Special Needs pupils was captured on film by accident. One is almost tempted to say 'Come back Godard, all is forgiven' but even this woeful production can't make me utter those words.",negative,its been said several times not least by me that watching an eric rohmer film is like watching paint dry it seems that monsieur rohmer resents this he doesnt deny it but then how could he he just resents it so much so that his new movie which may also be his last inch allah is set so far back in time that its like watching woad dry those wonderful people who gave you the nouvelle vague cahiers du cinema have already named it one of the best films of so that should give you some idea reality is not high on rohmers agenda so that in th century france we have at one extreme a chteau that would not be out of place in the loire valley whilst the only other dwelling we see is a rude wooden hut the story involves nymphs and shepherds and as he often does rohmer has cast it with unknowns who just happened to be passing so that the overall effect is that the annual class play at a school for special needs pupils was captured on film by accident one is almost tempted to say come back godard all is forgiven but even this woeful production cant make me utter those words,Allah is set so far back in time that its like watching woad dry. Story involves nymphs and shepherds and as he often does rohmer has cast it with unknowns who just happened to be passing.,NEGATIVE,0.9904577732086182,True
"New rule. Nobody is allowed to make any more Zombie movies unless they actually come up with an original idea.<br /><br />Sadly, this movie doesn't. They have the premise that Bounty hunters go out and kill Zombies and prove it by cutting off their fingers. Well, problems with that. Most people have ten fingers, why not just collect ten bounties for one Zombie? Why not just kill a regular person and pass that off as a Zombie finger? <br /><br />Not to mention the utter silliness of hunting zombies with a bolt action rifle.<br /><br />I sometimes think films like this are resume fillers for makeup and FX guys. ""Hey, this is what I did with ten dollars and some recylced bottles deposit. Imagine what I could do if you gave me a BUDGET!"" Do you think anyone goes to drama school or cinema school to star in a Zombie movie? ""I went to the School of the Arts. Check me out as the ""Tunnel Zombie"" in ""Quick and the Undead""."" His mother must be so proud.<br /><br />These had to be the wimpiest Zombies ever, as a whole crowed of them apparently couldn't push down a wooden door or even break a glass window. No, they had to wait for the bounty hunter to open the door for them...",negative,new rule nobody is allowed to make any more zombie movies unless they actually come up with an original idea sadly this movie doesnt they have the premise that bounty hunters go out and kill zombies and prove it by cutting off their fingers well problems with that most people have ten fingers why not just collect ten bounties for one zombie why not just kill a regular person and pass that off as a zombie finger not to mention the utter silliness of hunting zombies with a bolt action rifle i sometimes think films like this are resume fillers for makeup and fx guys hey this is what i did with ten dollars and some recylced bottles deposit imagine what i could do if you gave me a budget do you think anyone goes to drama school or cinema school to star in a zombie movie i went to the school of the arts check me out as the tunnel zombie in quick and the undead his mother must be so proud these had to be the wimpiest zombies ever as a whole crowed of them apparently couldnt push down a wooden door or even break a glass window no they had to wait for the bounty hunter to open the door for them,Bounty hunters go out and kill zombies and prove it by cutting off their fingers. These had to be the wimpiest zombies ever as a whole crowed of them apparently couldnt push down a wooden door or even break a gl.,NEGATIVE,0.9890579581260681,True
